Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32-W11P], I5-13420H , RTX 2050 4G , 32 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 659,000 DT",1,En stock
Pc Portable Dell Gaming G15 5535 ,[G15-5535-R51TSSD-3Y], Ryzen 5 7640HS , 16 Go , 1 To SSD , RTX 3050 6G ,N/A, Windows 11,"2 659,000 DT",3,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24-SS], I7-13620H , RTX 2050 4G , 24 Go , 512 Go SSD ,144 Hz, Gris Cosmos,"2 669,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NCR ,[FA506NCR-HN028W], Ryzen 7 7435HS , RTX 3050 4G , 8 Go , 512 Go SSD ,N/A, Windows 11 ,"2 669,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR], I7-13620H , RTX 3050 6G , 8 Go , 512 Go SSD ,144 Hz, Gris,"2 669,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",[K3605VC-RP488W-24-SS],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 675,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",[K3605VC-RP405W-24-SS],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 675,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20-W11P], Intel Core 5 210H , RTX 3050 6G , 20 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 679,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16], Intel Core 5 210H , RTX 3050 6G , 16 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 679,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-24], I7-13620H , RTX 2050 4G , 24 Go , 512 Go SSD ,IPS, Windows 11 ,"2 679,000 DT",1,En stock
