Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-16],Intel Core i5-13420H,RTX 3050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 539,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W-24],AMD Ryzen 5,RTX 2050,24 Go,512 Go,N/A,Noir,"2 539,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-16],Intel Core i7-13620H,RTX 2050,16 Go,512 Go,IPS,Argent mica,"2 549,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32-SS],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 559,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y-32-W11P],Intel Core i5-12450HX,RTX 2050,32 Go,512 Go,144 Hz,Gris Luna,"2 559,000 DT",2,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK006SFG-2Y-32],Intel Core i5-12450HX,RTX 2050,32 Go,512 Go,144 Hz,Gris Luna,"2 559,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16],Intel Core i7-13620H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 559,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16-SSW11P],Intel Core i7-13620H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 559,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20-SS],Intel Core 5,RTX 3050,20 Go,512 Go,144 Hz,Noir,"2 589,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00SKFG-2Y-16],Intel Core i5-12450HX,RTX 2050,16 Go,512 Go,antireflet,Gris Luna,"2 599,000 DT",2,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-32],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,micro,Bleu performance,"2 609,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-32],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,micro,Noir,"2 609,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16W11P],Intel Core i7-13620H,RTX 2050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 609,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-32-SAC],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,micro,Noir,"2 609,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 609,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-32-SAC],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,micro,Bleu performance,"2 609,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-16-W11P],Intel Core i5-13420H,RTX 3050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 619,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20],Intel Core 5,RTX 3050,20 Go,512 Go,144 Hz,Noir,"2 629,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16-SS],Intel Core 5,RTX 3050,16 Go,512 Go,144 Hz,Noir,"2 639,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20-W11P-SS],Intel Core 5,RTX 3050,20 Go,512 Go,144 Hz,Noir,"2 639,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN004-32],AMD Ryzen 5,RTX 2050,32 Go,512 Go,N/A,Noir,"2 649,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32-W11P],Intel Core i5-13420H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 659,000 DT",1,En stock
Pc Portable Dell Gaming G15 5535 ,[G15-5535-R51TSSD-3Y],AMD Ryzen 5,RTX 3050,16 Go,1 To,N/A,Noir,"2 659,000 DT",3,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24-SS],Intel Core i7-13620H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 669,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NCR ,[FA506NCR-HN028W],AMD Ryzen 7,RTX 3050,8 Go,512 Go,N/A,Noir,"2 669,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR],Intel Core i7-13620H,RTX 3050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 669,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",[K3605VC-RP488W-24-SS],Intel Core i5-13420H,RTX 3050 4,24 Go,512 Go,144 Hz,Silver,"2 675,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",[K3605VC-RP405W-24-SS],Intel Core i5-13420H,RTX 3050 4,24 Go,512 Go,144 Hz,Noir,"2 675,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20-W11P],Intel Core 5,RTX 3050,20 Go,512 Go,144 Hz,Noir,"2 679,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16],Intel Core 5,RTX 3050,16 Go,512 Go,144 Hz,Noir,"2 679,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-24],Intel Core i7-13620H,RTX 2050,24 Go,512 Go,IPS,Argent mica,"2 679,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16-W11P-SS],Intel Core 5,RTX 3050,16 Go,512 Go,144 Hz,Noir,"2 689,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[BU-FA506NFR-HN005W-16],AMD Ryzen 7,RTX 2050,16 Go,512 Go,N/A,Noir,"2 699,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[FA506NFR-HN005W-16],AMD Ryzen 7,RTX 2050,16 Go,512 Go,N/A,Noir,"2 699,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-24],Intel Core i5-13420H,RTX 3050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 699,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",[K3605VC-RP405W-24],Intel Core i5-13420H,RTX 3050 4,24 Go,512 Go,144 Hz,Noir,"2 719,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24],Intel Core i7-13620H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 719,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2028nk ,[C65BBEA],Intel Core i5-14450HX,RTX 3050,16 Go,512 Go,IPS,Argent mica,"2 719,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",[K3605VC-RP488W-24],Intel Core i5-13420H,RTX 3050 4,24 Go,512 Go,144 Hz,Silver,"2 719,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24-SSW11P],Intel Core i7-13620H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 735,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16-W11P],Intel Core 5,RTX 3050,16 Go,512 Go,144 Hz,Noir,"2 739,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR-W11P],Intel Core i7-13620H,RTX 3050,8 Go,512 Go,144 Hz,Gris Cosmos,"2 749,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W-32],AMD Ryzen 5,RTX 2050,32 Go,512 Go,N/A,Noir,"2 759,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24-W],Intel Core i7-13620H,RTX 2050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 769,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fb3008nk ,[C65BFEA-16],AMD Ryzen 5,RTX 2050,16 Go,512 Go,IPS,Noir,"2 769,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-24-W11P],Intel Core i5-13420H,RTX 3050,24 Go,512 Go,144 Hz,Gris Cosmos,"2 779,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24-SS],Intel Core 5,RTX 3050,24 Go,512 Go,144 Hz,Noir,"2 789,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VU-RP209],Intel Core 5,RTX 4050,8 Go,512 Go,144 Hz,Noir,"2 829,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00UBFG-2Y-16],Intel Core i5-12600HX,RTX 3050,16 Go,512 Go,antireflet,Gris Luna,"2 829,000 DT",2,En stock
